===tiers===
code;type;raisonSociale;adresse;adresse2;codePostal;ville;pays;telephone;email;ice;rc;rcLieu;if;tp;cnss;infoLibre;notes
T0001;CLIENT;TOSCANA GOMMA MAROC;K120 autoroute Casa/Rabat , Km 12;;;CASABLANCA;MAROC;+212 522 767 104;;001534158000032;;;;;;;
T0002;FOURNISSEUR;Fournisseur test;;;;;;;;;;;;;;;
T0004;FOURNISSEUR;ARIV;;;;;;;;;;;;;;;
T0003;CLIENT;Ressorts Gagnebin ;90 Parc industriel Bouskoura ;;;Casablanca;MAROC;;;001525782000077;35137;Casablanca;;;1613456;;
===END===

===articles===
code;designation;prixUnitaire;unite;tauxTVA;infoLibre;actif
ART0015;Gabarit V2 Fiatures (Controle et Welding  Pour reference A14150-01T Suivant PO du 13/10/2025 Toscana Gomma MA-13;5 000,00;pièce;20,00;;true
A14163;A14163 ‐ LH Wire 2mm ‐ F2X;1,78;pièce;20,00;;true
A14164;A14164 ‐ RH Wire 2mm ‐ F2X;1,78;pièce;20,00;;true
A14165;A14165 ‐ u Wire B Surface  2mm ‐ F2X;1,36;pièce;20,00;;true
A14166;A14166 ‐ Formed Wire 2mm ‐ F2X;1,26;pièce;20,00;;true
A14150‐01T;A14150‐01T ‐ Perim Wire 5mm ‐ F2X;5,36;pièce;20,00;;true
A14975;A14975 ‐ Wire frame Modified ‐ F2X;43,42;pièce;20,00;;true
A14151;A14151 ‐ U Wire 2mm ‐ F2X;1,61;pièce;20,00;;true
A14152;A14152 ‐ Formed Wire 2mm ‐ F2X;0,90;pièce;20,00;;true
A14153;A14153 ‐ U Wire 2mm ‐ F2X;2,12;pièce;20,00;;true
A14154;A14154 ‐ Formed Wire ‐ F2X;0,87;pièce;20,00;;true
A14155;A14155 ‐ U Wire 2mm ‐ F2X;1,63;pièce;20,00;;true
A14156;A14156 ‐ U Wire 2mm ‐ F2X;1,72;pièce;20,00;;true
A14158;A14158 ‐ Central wire 2mm ‐ F2X;0,85;pièce;20,00;;true
A14159;A14159 ‐ B Surface Wire 2mm ‐ F2X;1,00;pièce;20,00;;true
===END===

===factures_clients===
numero;dateFacture;codeClient;raisonSocialeClient;bonCommande;numeroBL;dateEcheance;totalHT;totalTVA;totalTTC;statut;notes;notesLivraison;infoLibre
SRGA/2025/00000024;2026-08-31;T0001;TOSCANA GOMMA MAROC;;BL-SRGA/112273;2026-10-31;696,00;139,20;835,20;VALIDEE;Créé depuis BL-SRGA/112273;;
SRGA/2025/00000023;2026-07-31;T0001;TOSCANA GOMMA MAROC;;BL-SRGA/112260, BL-SRGA/112261, BL-SRGA/112262, BL-SRGA/112263, BL-SRGA/112264, BL-SRGA/112265, BL-SRGA/112266, BL-SRGA/112267, BL-SRGA/112268, BL-SRGA/112269, BL-SRGA/112270, BL-SRGA/112271, BL-SRGA/112272;2026-09-30;93 082,48;18 616,50;111 698,98;VALIDEE;Facture groupée créée depuis 13 BL: BL-SRGA/112260, BL-SRGA/112261, BL-SRGA/112262, BL-SRGA/112263, BL-SRGA/112264, BL-SRGA/112265, BL-SRGA/112266, BL-SRGA/112267, BL-SRGA/112268, BL-SRGA/112269, BL-SRGA/112270, BL-SRGA/112271, BL-SRGA/112272 (mise à jour V2.92) - BL modifiés: BL-SRGA/112267;;
SRGA/2025/00000022;2026-06-30;T0001;TOSCANA GOMMA MAROC;;BL-SRGA/112250, BL-SRGA/112251, BL-SRGA/112252, BL-SRGA/112253, BL-SRGA/112254, BL-SRGA/112255, BL-SRGA/112256, BL-SRGA/112257, BL-SRGA/112258, BL-SRGA/112259;2026-08-30;63 660,36;12 732,07;76 392,43;VALIDEE;Facture groupée créée depuis 10 BL: BL-SRGA/112250, BL-SRGA/112251, BL-SRGA/112252, BL-SRGA/112253, BL-SRGA/112254, BL-SRGA/112255, BL-SRGA/112256, BL-SRGA/112257, BL-SRGA/112258, BL-SRGA/112259 (mise à jour V2.92) - BL modifiés: BL-SRGA/112255;;
SRGA/2025/00000021;2026-06-05;T0001;TOSCANA GOMMA MAROC;;BL-SRGA/112249;2026-07-05;3 473,60;694,72;4 168,32;VALIDEE;Créé depuis BL-SRGA/112249;;
SRGA/2025/00000020;2026-05-30;T0001;TOSCANA GOMMA MAROC;;BL-SRGA/112243, BL-SRGA/112244, BL-SRGA/112245, BL-SRGA/112246, BL-SRGA/112247, BL-SRGA/112248;2026-07-30;46 211,76;9 242,35;55 454,11;VALIDEE;Facture groupée créée depuis 6 BL: BL-SRGA/112243, BL-SRGA/112244, BL-SRGA/112245, BL-SRGA/112246, BL-SRGA/112247, BL-SRGA/112248;;
SRGA/2025/00000018;2026-04-30;T0001;TOSCANA GOMMA MAROC;;BL-SRGA/112233, BL-SRGA/112234, BL-SRGA/112235, BL-SRGA/112236, BL-SRGA/112237, BL-SRGA/112238, BL-SRGA/112239, BL-SRGA/112240, BL-SRGA/112241, BL-SRGA/112242;2026-06-30;60 497,72;12 099,54;72 597,26;VALIDEE;Facture groupée créée depuis 10 BL: BL-SRGA/112233, BL-SRGA/112234, BL-SRGA/112235, BL-SRGA/112236, BL-SRGA/112237, BL-SRGA/112238, BL-SRGA/112239, BL-SRGA/112240, BL-SRGA/112241, BL-SRGA/112242;;
SRGA/2025/00000019;2026-04-30;T0003;Ressorts Gagnebin ;;;2026-06-30;74 716,20;14 943,24;89 659,44;VALIDEE;;;
SRGA/2025/00000017;2026-02-28;T0001;TOSCANA GOMMA MAROC;;;2026-04-30;40 439,85;8 087,97;48 527,82;VALIDEE;;;
SRGA/2025/00000016;2026-01-31;T0001;TOSCANA GOMMA MAROC;;;2026-03-31;836,60;167,32;1 003,92;VALIDEE;;;
SRGA/2025/00000015;2025-12-31;T0001;TOSCANA GOMMA MAROC;;;2026-02-28;12 734,36;2 546,87;15 281,23;VALIDEE;;;
SRGA/2025/00000014;2025-11-30;T0001;TOSCANA GOMMA MAROC;;;2026-01-31;10 000,00;2 000,00;12 000,00;VALIDEE;;;
SRGA/2025/00000013;2025-11-30;T0001;TOSCANA GOMMA MAROC;;;2026-01-31;8 652,72;1 730,54;10 383,26;VALIDEE;;;
SRGA/2025/00000012;2025-10-31;T0001;TOSCANA GOMMA MAROC;;;2025-12-31;32 846,16;6 569,23;39 415,39;VALIDEE;;;
===END===

===lignes_factures_clients===
numeroFacture;codeArticle;designation;quantite;prixUnitaire;tauxTVA;totalHT
SRGA/2025/00000024;A14154;A14154 ‐ Formed Wire ‐ F2X;800,00;0,87;20,00;696,00
SRGA/2025/00000023;A14164;A14164 ‐ RH Wire 2mm ‐ F2X;600,00;1,78;20,00;1 068,00
SRGA/2025/00000023;A14165;A14165 ‐ u Wire B Surface  2mm ‐ F2X;600,00;1,36;20,00;816,00
SRGA/2025/00000023;A14166;A14166 ‐ Formed Wire 2mm ‐ F2X;600,00;1,26;20,00;756,00
SRGA/2025/00000023;A14150‐01T;A14150‐01T ‐ Perim Wire 5mm ‐ F2X;900,00;5,36;20,00;4 824,00
SRGA/2025/00000023;A14153;A14153 ‐ U Wire 2mm ‐ F2X;2 250,00;2,12;20,00;4 770,00
SRGA/2025/00000023;A14152;A14152 ‐ Formed Wire 2mm ‐ F2X;3 700,00;0,90;20,00;3 330,00
SRGA/2025/00000023;A14151;A14151 ‐ U Wire 2mm ‐ F2X;1 800,00;1,61;20,00;2 898,00
SRGA/2025/00000023;A14975;A14975 ‐ Wire frame Modified ‐ F2X;1 344,00;43,42;20,00;58 356,48
SRGA/2025/00000023;A14159;A14159 ‐ B Surface Wire 2mm ‐ F2X;3 250,00;1,00;20,00;3 250,00
SRGA/2025/00000023;A14158;A14158 ‐ Central wire 2mm ‐ F2X;1 500,00;0,85;20,00;1 275,00
SRGA/2025/00000023;A14154;A14154 ‐ Formed Wire ‐ F2X;3 550,00;0,87;20,00;3 088,50
SRGA/2025/00000023;A14156;A14156 ‐ U Wire 2mm ‐ F2X;2 750,00;1,72;20,00;4 730,00
SRGA/2025/00000023;A14163;A14163 ‐ LH Wire 2mm ‐ F2X;600,00;1,78;20,00;1 068,00
SRGA/2025/00000023;A14155;A14155 ‐ U Wire 2mm ‐ F2X;1 750,00;1,63;20,00;2 852,50
SRGA/2025/00000022;A14154;A14154 ‐ Formed Wire ‐ F2X;800,00;0,87;20,00;696,00
SRGA/2025/00000022;A14150‐01T;A14150‐01T ‐ Perim Wire 5mm ‐ F2X;2 391,00;5,36;20,00;12 815,76
SRGA/2025/00000022;A14975;A14975 ‐ Wire frame Modified ‐ F2X;756,00;43,42;20,00;32 825,52
SRGA/2025/00000022;A14151;A14151 ‐ U Wire 2mm ‐ F2X;1 450,00;1,61;20,00;2 334,50
SRGA/2025/00000022;A14152;A14152 ‐ Formed Wire 2mm ‐ F2X;4 450,00;0,90;20,00;4 005,00
SRGA/2025/00000022;A14155;A14155 ‐ U Wire 2mm ‐ F2X;1 450,00;1,63;20,00;2 363,50
SRGA/2025/00000022;A14156;A14156 ‐ U Wire 2mm ‐ F2X;1 464,00;1,72;20,00;2 518,08
SRGA/2025/00000022;A14163;A14163 ‐ LH Wire 2mm ‐ F2X;400,00;1,78;20,00;712,00
SRGA/2025/00000022;A14164;A14164 ‐ RH Wire 2mm ‐ F2X;400,00;1,78;20,00;712,00
SRGA/2025/00000022;A14165;A14165 ‐ u Wire B Surface  2mm ‐ F2X;400,00;1,36;20,00;544,00
SRGA/2025/00000022;A14166;A14166 ‐ Formed Wire 2mm ‐ F2X;400,00;1,26;20,00;504,00
SRGA/2025/00000022;A14153;A14153 ‐ U Wire 2mm ‐ F2X;1 500,00;2,12;20,00;3 180,00
SRGA/2025/00000022;A14159;A14159 ‐ B Surface Wire 2mm ‐ F2X;450,00;1,00;20,00;450,00
SRGA/2025/00000021;A14975;A14975 ‐ Wire frame Modified ‐ F2X;80,00;43,42;20,00;3 473,60
SRGA/2025/00000020;A14153;A14153 ‐ U Wire 2mm ‐ F2X;900,00;2,12;20,00;1 908,00
SRGA/2025/00000020;A14155;A14155 ‐ U Wire 2mm ‐ F2X;1 400,00;1,63;20,00;2 282,00
SRGA/2025/00000020;A14158;A14158 ‐ Central wire 2mm ‐ F2X;1 100,00;0,85;20,00;935,00
SRGA/2025/00000020;A14159;A14159 ‐ B Surface Wire 2mm ‐ F2X;650,00;1,00;20,00;650,00
SRGA/2025/00000020;A14156;A14156 ‐ U Wire 2mm ‐ F2X;4 200,00;1,72;20,00;7 224,00
SRGA/2025/00000020;A14975;A14975 ‐ Wire frame Modified ‐ F2X;418,00;43,42;20,00;18 149,56
SRGA/2025/00000020;A14150‐01T;A14150‐01T ‐ Perim Wire 5mm ‐ F2X;1 220,00;5,36;20,00;6 539,20
SRGA/2025/00000020;A14151;A14151 ‐ U Wire 2mm ‐ F2X;1 700,00;1,61;20,00;2 737,00
SRGA/2025/00000020;A14152;A14152 ‐ Formed Wire 2mm ‐ F2X;4 400,00;0,90;20,00;3 960,00
SRGA/2025/00000020;A14154;A14154 ‐ Formed Wire ‐ F2X;2 100,00;0,87;20,00;1 827,00
SRGA/2025/00000018;A14156;A14156 ‐ U Wire 2mm ‐ F2X;1 300,00;1,72;20,00;2 236,00
SRGA/2025/00000018;A14163;A14163 ‐ LH Wire 2mm ‐ F2X;120,00;1,78;20,00;213,60
SRGA/2025/00000018;A14164;A14164 ‐ RH Wire 2mm ‐ F2X;120,00;1,78;20,00;213,60
SRGA/2025/00000018;A14165;A14165 ‐ u Wire B Surface  2mm ‐ F2X;120,00;1,36;20,00;163,20
SRGA/2025/00000018;A14166;A14166 ‐ Formed Wire 2mm ‐ F2X;120,00;1,26;20,00;151,20
SRGA/2025/00000018;A14975;A14975 ‐ Wire frame Modified ‐ F2X;836,00;43,42;20,00;36 299,12
SRGA/2025/00000018;A14152;A14152 ‐ Formed Wire 2mm ‐ F2X;700,00;0,90;20,00;630,00
SRGA/2025/00000018;A14154;A14154 ‐ Formed Wire ‐ F2X;500,00;0,87;20,00;435,00
SRGA/2025/00000019;;Fil d'acier C9D Ø5.0 (avec présence rouille) ;9 270,00;8,06;20,00;74 716,20
SRGA/2025/00000018;A14155;A14155 ‐ U Wire 2mm ‐ F2X;1 800,00;1,63;20,00;2 934,00
SRGA/2025/00000018;A14153;A14153 ‐ U Wire 2mm ‐ F2X;1 700,00;2,12;20,00;3 604,00
SRGA/2025/00000018;A14151;A14151 ‐ U Wire 2mm ‐ F2X;1 800,00;1,61;20,00;2 898,00
SRGA/2025/00000018;A14150‐01T;A14150‐01T ‐ Perim Wire 5mm ‐ F2X;2 000,00;5,36;20,00;10 720,00
SRGA/2025/00000017;A14153;A14153 ‐ U Wire 2mm ‐ F2X;1 050,00;2,12;20,00;2 226,00
